article_id,title,gold,pred,conf,ok,reason
169,The first GEO group standard in the finance and economics field has be,3,3,0.8,True,"This article announces a new industry standard for AI in the finance sector, focusing on regulating Generative Engine Optimization (GEO) and mitigatin"
76,"How far are we from ""trust and let go"" as AI agents accelerate their i",4,4,0.8,True,"The article discusses the rapid implementation and commercial exploration of AI agents, with a specific mention of Alibaba's CoPaw tool and Alibaba Cl"
11,Seven platform companies were summoned for talks.,2,2,0.9,True,Alibaba is explicitly named as one of the platform companies summoned for talks by the State Administration for Market Regulation. The focus on strict
147,"Standard | Notice on Public Consultation for 5 Group Standards, includ",3,4,0.8,True,"The article details public consultation for group standards related to AI, including ""Technical Specifications for Edge-Side Large Model Updates and O"
124,Online shopping accelerates into the quality consumption track.,3,2,0.9,True,The article details new regulations jointly issued by multiple government departments that specifically target internet platforms and e-commerce prici
1,"New Regulations Target Big Data ""Price Discrimination""",2,2,0.9,True,The article details new regulations from Chinese authorities that directly target e-commerce platforms' use of algorithms for price discrimination and
134,"Industrial ecosystem upgrade and reconstruction, continuing to heavily",3,4,0.9,True,"The article details Pinduoduo's significant strategic investments and initiatives focused on supply chain upgrades, merchant empowerment, and brand de"
126,The State Administration for Market Regulation held an administrative ,2,2,0.9,True,The article describes a meeting where the State Administration for Market Regulation issued new regulations and guidance specifically for online food 
65,March 16th Important News Overview,4,3,0.8,True,"The article is a general news roundup covering various economic, trade, and industrial developments in China, as well as some international AI investm"
45,Alibaba steps up focus on Qwen LLM,2,4,0.9,True,"The article details Alibaba's strategic decision to bolster its Qwen LLM development and leadership, signaling increased investment and commitment to "
97,"Beijing summons 12 platform companies to address ""involutionary"" compe",2,2,0.9,True,"This article describes regulatory action taken by Beijing authorities against multiple platform companies, including Alibaba's subsidiaries (Taobao Fl"
29,Two departments further strengthen recall supervision of cross-border ,2,2,0.9,True,This article details new regulations from the State Administration for Market Regulation and the Ministry of Commerce that specifically target cross-b
41,Interview with Supreme People's Court Vice President Tao Kaiyuan: Judi,3,3,0.8,True,The article discusses the evolving legal and judicial landscape surrounding intellectual property rights in the context of artificial intelligence. Wh
127,"The ""crayfish farming"" craze is on the rise, but these hidden safety h",3,3,0.8,True,"The article discusses security risks associated with a popular AI assistant, 'Lobster', which has a significant user base in China. While this touches"
26,A-shares start the year with a bang after the Spring Festival,3,3,0.8,True,"The article describes a general market rally in China's A-share market following the Spring Festival. While it touches upon AI concepts, noting some d"
24,Implementing the arrangements of the Fifth Plenary Session of the 20th,3,3,0.7,True,The article discusses a broad government initiative to build a unified national market in China. While this initiative aims to improve economic circul
138,"The release ceremony for the group standard ""Guidelines for the Constr",3,3,0.8,True,"The article discusses the release of group standards for building enterprise supply chain control towers, which utilize technologies like AI, big data"
82,"How is the comprehensive rectification of ""involutionary"" competition ",2,2,0.8,True,"The article details regulatory actions and new laws aimed at curbing 'involutionary' competition, specifically targeting platform behaviors that press"
80,"Master Lecture Series | Issue 19: Policy Interpretation Meeting on ""Ru",3,2,0.8,True,"The article details the interpretation of new ""Rules on Pricing Behavior of Internet Platforms"" issued by key Chinese regulatory bodies. This directly"
85,"Severing the Black and Gray Industry Chain of ""Poisoned"" AI",3,2,0.9,True,"The article describes a 'black and gray industry chain' that manipulates AI models through fake data and reviews, impacting online platforms. This pra"
40,"AI sweeps MWC: Computing power takes over communication, terminal manu",4,4,0.9,True,"The article details Alibaba's Qwen AI glasses competing directly with Meta's offerings at MWC, a significant event. The global launch and integration "
102,"Hong Kong Stock AI New Narrative: Embracing ""Token Economics""",4,4,0.8,True,"The article focuses on the burgeoning 'Token economics' in the AI sector, particularly in Hong Kong, and how this new valuation metric is driving grow"
87,"Announcement on the Approval of 5 Group Standards, including the ""Ente",3,4,0.8,True,"The article announces the initiation of several group standards by the China Internet Association, several of which directly relate to AI development "
121,AI Evolution Express | Alibaba Announces AI-Related Organizational Adj,4,4,0.9,True,"The article details significant AI-focused organizational changes within Alibaba, including the establishment of a new technology committee and the up"
172,Head of the WTO Affairs Division of the Ministry of Commerce Interpret,4,4,0.9,True,"The article details the provisional implementation of a new global e-commerce agreement at the WTO, which aims to create a predictable framework for d"
149,Seven e-commerce platforms express sincere acceptance of the penalties,2,1,1.0,True,Alibaba's platforms (Taobao and Tmall) are explicitly named as being fined a substantial amount (3.597 billion yuan total) by the State Administration
48,"J.P. Morgan Chase Bank (China) Co., Ltd. Vice President Gu Wei: Leader",3,3,0.7,True,"This article focuses on JPMorgan Chase's initiatives in cross-border e-commerce and AI, and the leadership perspective of its Vice President. While th"
95,The State Administration for Market Regulation held the 2026 Anti-Mono,2,2,0.9,True,The article details a high-level government conference focused on anti-monopoly work and fair competition governance. While Alibaba is not explicitly 
142,"Token Boom: AI Computing Power Prices Rise Across the Chain, Ushering ",4,4,0.9,True,"The article details a significant price increase across the AI computing power chain, including Alibaba Cloud. While this indicates rising costs, it a"
165,MIIT: Industrial contribution to economic growth was nearly 40% in the,3,3,0.8,True,"The article highlights strong growth in China's industrial sector, including advancements in digital industries, software and information technology s"
62,"Industry warns of ""lobster"" safety risks, manufacturers release ""shrim",3,3,0.7,True,"The article discusses general security risks within the AI agent industry, with multiple companies releasing security solutions. While Alibaba Cloud i"
74,Detailed Analysis of Alibaba's Latest Earnings Report: Alibaba Cloud R,5,4,0.9,True,"The article details strong financial performance, particularly in Alibaba Cloud and AI-related products, along with significant advancements in AI inf"
34,Promote the innovative and healthy development of the platform economy,3,3,0.8,True,"The article discusses the overall policy direction and development of China's platform economy, acknowledging both its strengths and challenges, inclu"
125,State Administration for Market Regulation Releases 2025 Annual Report,2,3,0.8,True,The article describes the State Administration for Market Regulation's extensive legislative and enforcement activities in 2025. While it mentions the
133,Must-read before market open | ChiNext adds a fourth listing standard;,2,3,0.8,True,The article is a broad financial news roundup that touches upon various economic and market developments. While Alibaba is mentioned as having a sligh
139,[Xinhua News Agency] The root of formalism is the misplaced view of ac,3,3,0.8,True,"This article is a collection of various news items and policy announcements. While it touches upon e-commerce development and AI integration, these ar"
63,"Hangzhou Innovates with ""Credit Accounts""",3,3,0.8,True,"The article describes a local government initiative in Hangzhou focused on enterprise credit systems, which includes the use of AI. While Alibaba Clou"
175,"How to deposit and withdraw from a ""computing power bank""? How to buy ",4,3,0.8,True,This article discusses a government initiative in China to make computing power more accessible and affordable for small and medium-sized enterprises 
113,Notice of the State Administration for Market Regulation on Further Im,2,2,0.9,True,This notice from the State Administration for Market Regulation introduces a revised 'Anti-Unfair Competition Law' that specifically targets 'platform
